"Collectors of
Freshwater Fishes","List of collecting stations of Freshwater Fishes [Habitat, Locality and Geographical co-ordinates]","No. of
Species",source_page,source_file,"Order, Family, Species",Local Name,Environment,"Maximum size
(TL)",Human Use,"IUCN
Status","Barilius shacra (Hamilton, 1822)",Koksa,F,14.0 cm,Food,LC,"Pethia conchonius (Hamilton, 1822)",Kanchan Punti,"Ornamental,
Food",VU,"Anabas testudineus (Bloch, 1792)",Koi,"F, B",25.0 cm,DD,"Batasio fasciolatus Ng, 2006",Batasio,7.1 cm,Ornamental,"Gagata sexualis Tilak, 1970",Unnamed: 1,6.0 cm,Order,"Family
(No.)","Genera
(No.)","Species
(No.)"
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Eutropiichthys murius (Hamilton, 1822)",Muri bacha,28.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Eutropiichthys vacha (Hamilton, 1822)",Bacha,34.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Neotropius atherinoides (Bloch, 1794)",Batasi tangra,15.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Silonia silondia (Hamilton, 1822)",Sillan,183.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Siluridae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,NT,,,,,,,,,,"Ompok bimaculatus (Bloch, 1794)",Pabda,45.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,NT,,,,,,,,,,"Ompok pabda (Hamilton, 1822)",Pabda,30.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,NT,,,,,,,,,,"Ompok pabo (Hamilton, 1822)",Pabda,25.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Pterocryptis berdmorei (Blyth, 1860)",,21.4 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,NT,,,,,,,,,,"Wallago attu (Bloch and Schneider, 1801)",Boal,240.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Sisoridae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,NT,,,,,,,,,,"Bagarius bagarius (Hamilton, 1822)",Garua,200.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,NT,,,,,,,,,,"Bagarius yarrelli (Sykes, 1839)",,200.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Conta pectinata Ng, 2005",Tinkata,4.9 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Erethistes pusillus Müller and Troschel, 1849",Tinkantia,4.2 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Erethistoides infuscatus Ng, 2006",,4.5 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Erethistoides montana Hora, 1950",Tinkantia,4.8 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Gagata cenia (Hamilton, 1822)",Jungle,15.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Gagata gagata (Hamilton, 1822)",,31.0 cm,Food,,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Gagata dolichonema He, 1996",Kaoya tengra,13.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Glyptothorax cavia (Hamilton, 1822)",Kani tengra,28.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,NE,,,,,,,,,,,,,Ornamental,"Glyptothorax dikrongensis Tamang and Chaudhry,
2011",,9.4 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Glyptothorax gracilis (Günther, 1864)",,12.7 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Glyptothorax indicus Talwar, 1991",Kani tengra,11.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,NE,,,,,,,,,,,,,Food,"Glyptothorax radiolus Ng and Lalramliana, 2013",,11.9 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,NT,,,,,,,,,,,,,Food,"Glyptothorax striatus (McClelland, 1842)",,21.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Glyptothorax telchitta (Hamilton, 1822)",Kani tengra,10.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Gogangra viridescens (Hamilton, 1822)",,8.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Hara hara (Hamilton, 1822)",Tinkata,13.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Hara horai Misra, 1976",,8.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Hara jerdoni Day, 1870",Tinkata,4.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Hara koladynensis Anganthoibi and Vishwanath,
2009",Tinkata,6.6 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Nangra assamensis Sen and Biswas, 1994",,9.2 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Nangra nangra (Hamilton, 1822)",,5.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Pseudolaguvia ferula Ng, 2006",Tinkata,2.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Pseudolaguvia ferruginea Ng, 2009",,2.9 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Pseudolaguvia flavida Ng, 2009",,2.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,DD,,,,,,,,,,,,,Ornamental,"Pseudolaguvia foveolata Ng, 2005",,3.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Pseudolaguvia ribeiroi (Hora, 1921)",,10.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Pseudolaguvia shawi (Hora, 1921)",Tinkata,3.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,VU,,,,,,,,,,,,,Ornamental,"Sisor barakensis Vishwanath and Darshan, 2005",Sisor,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,Ornamental,"Sisor rabdophorus Hamilton, 1822",Sisor,18.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Order: Synbranchiformes,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Family: Chaudhuriidae,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,EN,,,,,,,,,,,,,Ornamental,"Pillaia indica Yazdani, 1972",,7.7 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Family: Mastacembelidae,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,"Ornamental,
Food","Macrognathus aculeatus (Bloch, 1786)",Ban,38.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Food,"Macrognathus aral (Bloch and Schneider, 1801)",Pankal,63.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,LC,,,,,,,,,,,,,"Ornamental,
Food","Macrognathus morehensis Arunkumar and Tombi
Singh, 2000",Bhaim,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,"Ornamental,
Food","Macrognathus pancalus Hamilton, 1822",Pankal,18.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Food,"Mastacembelus armatus (Lacepède, 1800)",Ban,90.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Family: Synbranchidae,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Food,"Monopterus albus (Zuiew, 1793)",,100.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Ornamental,"Monopterus cuchia (Hamilton, 1822)",Kuche,70.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Food,"Ophisternon bengalense McClelland, 1844",Bero,100.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Order: Syngnathiformes,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Family: Syngnathidae,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Ornamental,"Microphis cuncalus (Hamilton, 1822)",Dot,17.5 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,F,,,NT,,,,,,,,,,,,,Ornamental,"Microphis deocata (Hamilton, 1822)",,15.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Order: Tetradontiformes,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,Family: Tetraodontidae,,,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,,,,Ornamental,"Leiodon cutcutia (Hamilton, 1822)",Tepa,15.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_6.csv,,,,,,,,,"F, B",,,NE,,,,,,,,,,,,,Ornamental,"Tetraodon fluviatilis Hamilton, 1822",Potoka,17.0 cm,,,,
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilliformes,2,3,3
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beloniformes,1,1,1
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clupeiformes,2,5,8
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypriniformes,4,46,117
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyprinodontiformes,2,3,3
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mugiliformes,1,2,2
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteoglossiformes,1,2,2
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perciformes,10,17,39
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siluriformes,12,36,79
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synbranchiformes,3,5,9
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syngnathiformes,1,1,2
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetradontiformes,1,2,2
,,,8,FreshwaterfishdiversityofWestBengal_table_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total = 12,Total = 40,Total = 123,Total = 267
