scientific_name,common_name,local_name,family,order,max_size,habitat,iucn_status,human_use,source,water_type,region,season,temp_min,temp_max,ph_min,ph_max,stocking_density_per_ha,growth_duration_months,category,feeding_habit,market_value,is_native,data_quality,temp_avg,ph_avg,temp_range,data_source,completeness_score,temp_score
Labeo nandina,,,Cyprinidae,Cypriniformes,81.2 cm,Freshwater,NT,Food,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,4,5
Labeo pangusia,,Utti,Cyprinidae,Cypriniformes,90.0 cm,Freshwater,NT,Food,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Labeo rohita,Rohu,Rui,Cyprinidae,Cypriniformes,200.0 cm,Freshwater,LC,Food,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,manual+auto,5,5
Laubuka laubuca,,Laubuca,Cyprinidae,Cypriniformes,7.0 cm,"Freshwater, Brackish",LC,Ornamental,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Megarasbora elanga,,,Cyprinidae,Cypriniformes,21.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,4,5
Neolissochilus hexagonolepis,,Katli,Cyprinidae,Cypriniformes,120.0 cm,Freshwater,NT,Food,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Neolissochilus hexastichus,,,Cyprinidae,Cypriniformes,,Freshwater,NT,Ornamental,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,3,5
Oreichthys cosuatis,,Punti,Cyprinidae,Cypriniformes,8.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Oreichthys crenuchoides,,Punti,Cyprinidae,Cypriniformes,3.1 cm,Freshwater,DD,"Ornamental,
Food",WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Osteobrama belangeri,,Gilachaki,Cyprinidae,Cypriniformes,38.0 cm,Freshwater,NT,"Ornamental,
Food",WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Osteobrama cotio,Cotio,Gilachaki,Cyprinidae,Cypriniformes,15.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,5,5
Pethia aurea,,,Cyprinidae,Cypriniformes,2.4 cm,Freshwater,NE,Ornamental,WB_Fish_Diversity_table_2,,,,,,,,,,,,,,,,,,auto,4,5
Pethia gelius,,Gilipunti,Cyprinidae,Cypriniformes,5.1 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Pethia guganio,,Punti,Cyprinidae,Cypriniformes,80 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Pethia phutunio,,Punti,Cyprinidae,Cypriniformes,3.5 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Pethia shalynius,,Bhusandi Punti,Cyprinidae,Cypriniformes,6.0 cm,Freshwater,VU,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Pethia ticto,,Titpunti,Cyprinidae,Cypriniformes,10.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Puntius chola,Swamp Barb,Chela Punti,Cyprinidae,Cypriniformes,15.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Puntius puntio,,Puntio Barb,Cyprinidae,Cypriniformes,7.5 cm,Freshwater,NE,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Puntius sophore,Pool Barb,Punti,Cyprinidae,Cypriniformes,20.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Puntius terio,,Teripunti,Cyprinidae,Cypriniformes,10.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Puntius vittatus,,Tor Mahasol,Cyprinidae,Cypriniformes,5.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Raiamas bola,,Bhola,Cyprinidae,Cypriniformes,35.0 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
